λ,d
380,100
381,99.96630528
382,99.93282221
383,99.89955007
384,99.86648812
385,99.83363564
386,99.80099191
387,99.76855619
388,99.73632777
389,99.70430591
390,99.67248989
391,99.64087898
392,99.60947246
393,99.5782696
394,99.54726967
395,99.51647195
396,99.48587571
397,99.45548023
398,99.42528477
399,99.39528862
400,99.36549104
401,99.33589131
402,99.3064887
403,99.27728249
404,99.24827195
405,99.21945635
406,99.19083497
407,99.16240709
408,99.13417196
409,99.10612888
410,99.07827711
411,99.05061592
412,99.02314459
413,98.9958624
414,98.96876861
415,98.94186251
416,98.91514335
417,98.88861043
418,98.862263
419,98.83610036
420,98.81012176
421,98.78432648
422,98.7587138
423,98.73328299
424,98.70803332
425,98.68296407
426,98.65807451
427,98.63336391
428,98.60883155
429,98.5844767
430,98.56029864
431,98.53629664
432,98.51246997
433,98.48881791
434,98.46533972
435,98.44203469
436,98.41890209
437,98.39594119
438,98.37315126
439,98.35053158
440,98.32808142
441,98.30580006
442,98.28368677
443,98.26174082
444,98.23996148
445,98.21834804
446,98.19689976
447,98.17561592
448,98.15449579
449,98.13353864
450,98.11274375
451,98.0921104
452,98.07163785
453,98.05132538
454,98.03117226
455,98.01117777
456,97.99134118
457,97.97166176
458,97.9521388
459,97.93277155
460,97.9135593
461,97.89450131
462,97.87559687
463,97.85684525
464,97.83824571
465,97.81979754
466,97.8015
467,97.78335238
468,97.76535394
469,97.74750396
470,97.7298017
471,97.71224646
472,97.69483749
473,97.67757408
474,97.66045549
475,97.643481
476,97.62664989
477,97.60996142
478,97.59341487
479,97.57700952
480,97.56074464
481,97.5446195
482,97.52863337
483,97.51278553
484,97.49707526
485,97.48150182
486,97.46606449
487,97.45076255
488,97.43559526
489,97.42056191
490,97.40566176
491,97.39089408
492,97.37625816
493,97.36175327
494,97.34737867
495,97.33313365
496,97.31901748
497,97.30502942
498,97.29116876
499,97.27743477
500,97.26382671
501,97.25034388
502,97.23698553
503,97.22375094
504,97.21063939
505,97.19765015
506,97.18478249
507,97.17203569
508,97.15940902
509,97.14690176
510,97.13451317
511,97.12224253
512,97.11008912
513,97.09805221
514,97.08613107
515,97.07432498
516,97.0626332
517,97.05105502
518,97.03958971
519,97.02823654
520,97.01699478
521,97.00586371
522,96.9948426
523,96.98393073
524,96.97312737
525,96.96243179
526,96.95184326
527,96.94136107
528,96.93098448
529,96.92071277
530,96.91054521
531,96.90048107
