wave-length,optical-strength,light
380,0.001020408,0.1
381,0.001019368,0.1
382,0.001019368,0.1
383,0.001019368,0.1
384,0.001019368,0.1
385,0.001019368,0.1
386,0.001019368,0.1
387,0.001019368,0.1
388,0.002040816,0.2
389,0.002040816,0.2
390,0.002038736,0.2
391,0.003061224,0.3
392,0.004077472,0.4
393,0.00509684,0.5
394,0.006116208,0.6
395,0.008154944,0.8
396,0.011213048,1.1
397,0.01529052,1.5
398,0.019367992,1.9
399,0.026503568,2.6
400,0.033639144,3.3
401,0.043877551,4.3
402,0.05606524,5.5
403,0.071355759,7
404,0.089704383,8.8
405,0.110204082,10.8
406,0.132653061,13
407,0.156122449,15.3
408,0.180612245,17.7
409,0.205912334,20.2
410,0.230377166,22.6
411,0.25382263,24.9
412,0.276248726,27.1
413,0.29459735,28.9
414,0.313965341,30.8
415,0.331294597,32.5
416,0.346980553,33.9
417,0.36142132,35.6
418,0.373860182,36.9
419,0.383991895,37.9
420,0.392097264,38.7
421,0.400202634,39.5
422,0.406693712,40.1
423,0.412778905,40.7
424,0.4168357,41.1
425,0.422335025,41.6
426,0.425380711,41.9
427,0.428426396,42.2
428,0.431910569,42.5
429,0.43495935,42.8
430,0.438900204,43.1
431,0.442405708,43.4
432,0.446373851,43.7
433,0.449897751,44
434,0.454452405,44.4
435,0.460040984,44.9
436,0.465641026,45.4
437,0.472820513,46.1
438,0.48,46.8
439,0.488729508,47.7
440,0.49795082,48.6
441,0.507676561,49.6
442,0.516853933,50.6
443,0.526530612,51.6
444,0.536187564,52.6
445,0.543788187,53.4
446,0.548780488,54
447,0.551724138,54.4
448,0.553752535,54.6
449,0.553191489,54.6
450,0.551619433,54.5
451,0.548028311,54.2
452,0.5429727,53.7
453,0.535894843,53
454,0.528816987,52.3
455,0.521255061,51.5
456,0.514690983,50.8
457,0.506585613,50
458,0.499493414,49.3
459,0.49291498,48.7
460,0.488372093,48.3
461,0.484848485,48
462,0.484359233,48
463,0.485397784,48.2
464,0.488442211,48.6
465,0.493975904,49.2
466,0.500501505,49.9
467,0.507522568,50.6
468,0.515060241,51.3
469,0.520603015,51.8
470,0.525150905,52.2
471,0.527217742,52.3
472,0.527217742,52.3
473,0.526209677,52.2
474,0.523713421,51.9
475,0.521169355,51.7
476,0.517623364,51.4
477,0.514084507,51.1
478,0.511066398,50.8
479,0.508542714,50.6
480,0.506024096,50.4
481,0.504016064,50.2
482,0.501004016,49.9
483,0.498995984,49.7
484,0.496987952,49.5
485,0.49497992,49.3
486,0.492971888,49.1
487,0.490471414,48.9
488,0.489468405,48.8
489,0.487951807,48.6
490,0.485943775,48.4
491,0.484939759,48.3
492,0.483935743,48.2
493,0.481927711,48
494,0.480923695,47.9
495,0.479919679,47.8
496,0.478915663,47.7
497,0.477911647,47.6
498,0.476907631,47.5
499,0.475903614,47.4
500,0.474899598,47.3
501,0.473895582,47.2
502,0.472891566,47.1
503,0.47188755,47
504,0.470411234,46.9
505,0.469408225,46.8
506,0.468875502,46.7
507,0.468875502,46.7
508,0.467871486,46.6
509,0.46686747,46.5
510,0.465396189,46.4
511,0.46439318,46.3
512,0.463390171,46.2
513,0.463390171,46.2
514,0.462387161,46.1
515,0.461384152,46
516,0.460381143,45.9
517,0.459378134,45.8
518,0.458375125,45.7
519,0.458375125,45.7
520,0.457372116,45.6
521,0.456369107,45.5
522,0.455366098,45.4
523,0.455366098,45.4
524,0.454363089,45.3
525,0.45336008,45.2
526,0.452357071,45.1
527,0.450901804,45
528,0.450901804,45
529,0.4498998,44.9
530,0.448897796,44.8
531,0.447895792,44.7
532,0.447895792,44.7
533,0.446893788,44.6
534,0.445891784,44.5
535,0.445891784,44.5
536,0.445891784,44.5
537,0.447,44.7
538,0.446,44.6
539,0.445,44.5
540,0.443556444,44.4
541,0.443556444,44.4
542,0.442557443,44.3
543,0.441558442,44.2
544,0.440559441,44.1
545,0.43956044,44
546,0.438561439,43.9
547,0.438561439,43.9
548,0.437562438,43.8
549,0.436127745,43.7
550,0.435564436,43.6
551,0.435564436,43.6
552,0.434565435,43.5
553,0.433566434,43.4
554,0.433133733,43.4
555,0.432135729,43.3
556,0.431137725,43.2
557,0.430139721,43.1
558,0.429141717,43
559,0.429141717,43
560,0.428143713,42.9
