wave-length,x(lambda),y(lambda),z(lambda)
380,0.001368,0.000039,0.00645
381,0.001502,0.000042,0.007083
382,0.001642,0.000046,0.007745
383,0.001802,0.000051,0.008501
384,0.001995,0.000057,0.009414
385,0.002236,0.000064,0.010549
386,0.002535,0.00072,0.011965
387,0.002892,0.000082,0.013655
388,0.0033,0.000093,0.015588
389,0.003753,0.000106,0.01773
390,0.004243,0.00012,0.02005
391,0.004762,0.000134,0.022511
392,0.00533,0.000151,0.025202
393,0.005978,0.00017,0.028279
394,0.006741,0.000191,0.031897
395,0.00765,0.000217,0.03621
396,0.008751,0.000246,0.041437
397,0.010028,0.000281,0.047503
398,0.011421,0.000318,0.054119
399,0.012869,0.000357,0.060998
400,0.01431,0.000396,0.06785
401,0.015704,0.000433,0.074486
402,0.017147,0.000473,0.081361
403,0.018781,0.000517,0.089153
404,0.020748,0.000572,0.09854
405,0.02319,0.00064,0.1102
406,0.026207,0.000724,0.124613
407,0.029782,0.000825,0.141701
408,0.03388,0.000941,0.161303
409,0.038468,0.001069,0.183256
410,0.04351,0.00121,0.2074
411,0.048995,0.001362,0.233692
412,0.055022,0.00153,0.262611
413,0.061718,0.00172,0.294774
414,0.069212,0.001935,0.330798
415,0.07763,0.00218,0.3713
416,0.086958,0.002454,0.416209
417,0.097176,0.002764,0.465464
418,0.108406,0.003117,0.519694
419,0.120767,0.003526,0.57953
420,0.13438,0.004,0.6456
421,0.149358,0.004546,0.718483
422,0.165395,0.005159,0.796713
423,0.181983,0.005829,0.877845
424,0.198611,0.006546,0.959439
425,0.21477,0.0073,1.03905
426,0.230186,0.008086,1.115367
427,0.244879,0.008908,1.188497
428,0.258777,0.009767,1.258123
429,0.271807,0.010664,1.323929
430,0.2839,0.0116,1.3856
431,0.294943,0.012,1.442635
432,0.304896,0.013582,1.494803
433,0.313787,0.014629,1.54219
434,0.321645,0.015715,1.58488
435,0.3285,0.01684,1.62296
436,0.334351,0.018007,1.656404
437,0.33921,0.019214,1.685295
438,0.343121,0.020453,1.709874
439,0.346129,0.021718,1.730382
440,0.34828,0.023,1.74706
