wave-length,optical-strength,light
380,0.002257,0.002257
381,0.002257,0.002257
382,0.002257,0.002257
383,0.002285,0.002285
384,0.002337,0.002337
385,0.002361,0.002361
386,0.002166,0.002166
387,0.001757,0.001757
388,0.001251,0.001251
389,0.000851,0.000851
390,0.000556,0.000556
391,0.000493,0.000493
392,0.00062,0.00062
393,0.000945,0.000945
394,0.001293,0.001293
395,0.001662,0.001662
396,0.001826,0.001826
397,0.001706,0.001706
398,0.001351,0.001351
399,0.001223,0.001223
400,0.001386,0.001386
401,0.001863,0.001863
402,0.002468,0.002468
403,0.0032,0.0032
404,0.003583,0.003583
405,0.003546,0.003546
406,0.003222,0.003222
407,0.003242,0.003242
408,0.003621,0.003621
409,0.004296,0.004296
410,0.00506,0.00506
411,0.005887,0.005887
412,0.006601,0.006601
413,0.007181,0.007181
414,0.007621,0.007621
415,0.00801,0.00801
416,0.008351,0.008351
417,0.008855,0.008855
418,0.009542,0.009542
419,0.01039,0.01039
420,0.011201,0.011201
421,0.011976,0.011976
422,0.013161,0.013161
423,0.014834,0.014834
424,0.016875,0.016875
425,0.01859,0.01859
426,0.01992,0.01992
427,0.021457,0.021457
428,0.023622,0.023622
429,0.02639,0.02639
430,0.029175,0.029175
431,0.031821,0.031821
432,0.03489,0.03489
433,0.038802,0.038802
434,0.043573,0.043573
435,0.048858,0.048858
436,0.054349,0.054349
437,0.060384,0.060384
438,0.067085,0.067085
439,0.074452,0.074452
440,0.082779,0.082779
441,0.091764,0.091764
442,0.102197,0.102197
443,0.114401,0.114401
444,0.12837,0.12837
445,0.144145,0.144145
446,0.160833,0.160833
447,0.179378,0.179378
448,0.200515,0.200515
449,0.224163,0.224163
450,0.251592,0.251592
451,0.281636,0.281636
452,0.315353,0.315353
453,0.352755,0.352755
454,0.393441,0.393441
455,0.438094,0.438094
456,0.484918,0.484918
457,0.533695,0.533695
458,0.58214,0.58214
459,0.629825,0.629825
460,0.674263,0.674263
461,0.715217,0.715217
462,0.750663,0.750663
463,0.77783,0.77783
464,0.797498,0.797498
465,0.807506,0.807506
466,0.812065,0.812065
467,0.809521,0.809521
468,0.799621,0.799621
469,0.783628,0.783628
470,0.76171,0.76171
471,0.737887,0.737887
472,0.712211,0.712211
473,0.686291,0.686291
474,0.660546,0.660546
475,0.634973,0.634973
476,0.60946,0.60946
477,0.584836,0.584836
478,0.562711,0.562711
479,0.543074,0.543074
480,0.525185,0.525185
481,0.507395,0.507395
482,0.490078,0.490078
483,0.473729,0.473729
484,0.458332,0.458332
485,0.443122,0.443122
486,0.427488,0.427488
487,0.411838,0.411838
488,0.397023,0.397023
489,0.383087,0.383087
490,0.370393,0.370393
491,0.358482,0.358482
492,0.347825,0.347825
493,0.338018,0.338018
494,0.329209,0.329209
495,0.321938,0.321938
496,0.315838,0.315838
497,0.311167,0.311167
498,0.307087,0.307087
499,0.303918,0.303918
500,0.302176,0.302176
501,0.301677,0.301677
502,0.302265,0.302265
503,0.303048,0.303048
504,0.304018,0.304018
505,0.305001,0.305001
506,0.305966,0.305966
507,0.308385,0.308385
508,0.312285,0.312285
509,0.317442,0.317442
510,0.322225,0.322225
511,0.326608,0.326608
512,0.330764,0.330764
513,0.334857,0.334857
514,0.34011,0.34011
515,0.346938,0.346938
516,0.35499,0.35499
517,0.362466,0.362466
518,0.369004,0.369004
519,0.374762,0.374762
520,0.380325,0.380325
521,0.38614,0.38614
522,0.392696,0.392696
523,0.399876,0.399876
524,0.406798,0.406798
525,0.413161,0.413161
526,0.419103,0.419103
527,0.425065,0.425065
528,0.430829,0.430829
529,0.436137,0.436137
530,0.441024,0.441024
531,0.446003,0.446003
532,0.451316,0.451316
533,0.456587,0.456587
534,0.461408,0.461408
535,0.465705,0.465705
536,0.469707,0.469707
537,0.473526,0.473526
538,0.477259,0.477259
539,0.481017,0.481017
540,0.484225,0.484225
541,0.486628,0.486628
542,0.488261,0.488261
543,0.489759,0.489759
544,0.491401,0.491401
545,0.494157,0.494157
546,0.497966,0.497966
547,0.501633,0.501633
548,0.503709,0.503709
549,0.504375,0.504375
550,0.505048,0.505048
551,0.506078,0.506078
552,0.506438,0.506438
553,0.50586,0.50586
554,0.505288,0.505288
555,0.505789,0.505789
556,0.507241,0.507241
557,0.508668,0.508668
558,0.509682,0.509682
559,0.509758,0.509758
560,0.509021,0.509021
561,0.507968,0.507968
562,0.507281,0.507281
563,0.507336,0.507336
564,0.508016,0.508016
565,0.509027,0.509027
566,0.509526,0.509526
567,0.50928,0.50928
568,0.508409,0.508409
569,0.507381,0.507381
570,0.506116,0.506116
571,0.504738,0.504738
572,0.50306,0.50306
573,0.501033,0.501033
574,0.498706,0.498706
575,0.496323,0.496323
576,0.494026,0.494026
577,0.491779,0.491779
578,0.489522,0.489522
579,0.487348,0.487348
580,0.485285,0.485285
581,0.483275,0.483275
582,0.48119,0.48119
583,0.479067,0.479067
584,0.477056,0.477056
585,0.475094,0.475094
586,0.47253,0.47253
587,0.469267,0.469267
588,0.465343,0.465343
589,0.461351,0.461351
590,0.457539,0.457539
591,0.454071,0.454071
592,0.450946,0.450946
593,0.447912,0.447912
594,0.444758,0.444758
595,0.441245,0.441245
596,0.437536,0.437536
597,0.434863,0.434863
598,0.433469,0.433469
599,0.431141,0.431141
600,0.426619,0.426619
601,0.420846,0.420846
602,0.416181,0.416181
603,0.412493,0.412493
604,0.408648,0.408648
605,0.404341,0.404341
606,0.399835,0.399835
607,0.395279,0.395279
608,0.39055,0.39055
609,0.38568,0.38568
610,0.380962,0.380962
611,0.376522,0.376522
612,0.372011,0.372011
613,0.367159,0.367159
614,0.362418,0.362418
615,0.358224,0.358224
616,0.35431,0.35431
617,0.350077,0.350077
618,0.345527,0.345527
619,0.341042,0.341042
620,0.336604,0.336604
621,0.331869,0.331869
622,0.32697,0.32697
623,0.322636,0.322636
624,0.318842,0.318842
625,0.314148,0.314148
626,0.308101,0.308101
627,0.302476,0.302476
628,0.298481,0.298481
629,0.29501,0.29501
630,0.29052,0.29052
631,0.285244,0.285244
632,0.280206,0.280206
633,0.275569,0.275569
634,0.271132,0.271132
635,0.266841,0.266841
636,0.262553,0.262553
637,0.258329,0.258329
638,0.254249,0.254249
639,0.250148,0.250148
640,0.245791,0.245791
641,0.241367,0.241367
642,0.237293,0.237293
643,0.233554,0.233554
644,0.229713,0.229713
645,0.225444,0.225444
646,0.220771,0.220771
647,0.215955,0.215955
648,0.211211,0.211211
649,0.206873,0.206873
650,0.203327,0.203327
651,0.200182,0.200182
652,0.196562,0.196562
653,0.192296,0.192296
654,0.18847,0.18847
655,0.185609,0.185609
656,0.182961,0.182961
657,0.179753,0.179753
658,0.176314,0.176314
659,0.173084,0.173084
660,0.169922,0.169922
661,0.16664,0.16664
662,0.163246,0.163246
663,0.159881,0.159881
664,0.156726,0.156726
665,0.153852,0.153852
666,0.151384,0.151384
667,0.149019,0.149019
