wave-length,optical-strength,light
380,0.003723,0.001241
381,0.003723,0.001241
382,0.003723,0.001241
383,0.003939,0.001313
384,0.004572,0.001524
385,0.005529,0.001843
386,0.005808,0.001936
387,0.005211,0.001737
388,0.004098,0.001366
389,0.003534,0.001178
390,0.003513,0.001171
391,0.003909,0.001303
392,0.004458,0.001486
393,0.005007,0.001669
394,0.004992,0.001664
395,0.004395,0.001465
396,0.003375,0.001125
397,0.002358,0.000786
398,0.001371,0.000457
399,0.000885,0.000295
400,0.000894,0.000298
401,0.001461,0.000487
402,0.002217,0.000739
403,0.003168,0.001056
404,0.004107,0.001369
405,0.004914,0.001638
406,0.005427,0.001809
407,0.005322,0.001774
408,0.004617,0.001539
409,0.003852,0.001284
410,0.003624,0.001208
411,0.003954,0.001318
412,0.004599,0.001533
413,0.005391,0.001797
414,0.006249,0.002083
415,0.006981,0.002327
416,0.00759,0.00253
417,0.008625,0.002875
418,0.010173,0.003391
419,0.012561,0.004187
420,0.015843,0.005281
421,0.019998,0.006666
422,0.025014,0.008338
423,0.030426,0.010142
424,0.036504,0.012168
425,0.04374,0.01458
426,0.052065,0.017355
427,0.062067,0.020689
428,0.07332,0.02444
429,0.085932,0.028644
430,0.099738,0.033246
431,0.114345,0.038115
432,0.131439,0.043813
433,0.151587,0.050529
434,0.17493,0.05831
435,0.203067,0.067689
436,0.234735,0.078245
437,0.272394,0.090798
438,0.315333,0.105111
439,0.363546,0.121182
440,0.416553,0.138851
441,0.471795,0.157265
442,0.530766,0.176922
443,0.59355,0.19785
444,0.660027,0.220009
445,0.721626,0.240542
446,0.775074,0.258358
447,0.816204,0.272068
448,0.843822,0.281274
449,0.859002,0.286334
450,0.85617,0.28539
451,0.841254,0.280418
452,0.811899,0.270633
453,0.771834,0.257278
454,0.723405,0.241135
455,0.668541,0.222847
456,0.613122,0.204374
457,0.557865,0.185955
458,0.505395,0.168465
459,0.455847,0.151949
460,0.412767,0.137589
461,0.375492,0.125164
462,0.344433,0.114811
463,0.316719,0.105573
464,0.290811,0.096937
465,0.268269,0.089423
466,0.248433,0.082811
467,0.231498,0.077166
468,0.216132,0.072044
469,0.2016,0.0672
470,0.188508,0.062836
471,0.176493,0.058831
472,0.165849,0.055283
473,0.156657,0.052219
474,0.148635,0.049545
475,0.141879,0.047293
476,0.13563,0.04521
477,0.130152,0.043384
478,0.125691,0.041897
479,0.122127,0.040709
480,0.119835,0.039945
481,0.11832,0.03944
482,0.117639,0.039213
483,0.117273,0.039091
484,0.117075,0.039025
485,0.116676,0.038892
486,0.11592,0.03864
487,0.115365,0.038455
488,0.116061,0.038687
489,0.118047,0.039349
490,0.121413,0.040471
491,0.125436,0.041812
492,0.130527,0.043509
493,0.136422,0.045474
494,0.143163,0.047721
495,0.151008,0.050336
496,0.159588,0.053196
497,0.169725,0.056575
498,0.181239,0.060413
499,0.194118,0.064706
500,0.207462,0.069154
501,0.220785,0.073595
502,0.234792,0.078264
503,0.249687,0.083229
504,0.265752,0.088584
505,0.282771,0.094257
506,0.300549,0.100183
507,0.318645,0.106215
508,0.336567,0.112189
509,0.35445,0.11815
510,0.372582,0.124194
511,0.39099,0.13033
512,0.409674,0.136558
513,0.428517,0.142839
514,0.446409,0.148803
515,0.462792,0.154264
516,0.477843,0.159281
517,0.493023,0.164341
518,0.508758,0.169586
519,0.523629,0.174543
520,0.537156,0.179052
521,0.549393,0.183131
522,0.561624,0.187208
523,0.573804,0.191268
524,0.585156,0.195052
525,0.595638,0.198546
526,0.605358,0.201786
527,0.615039,0.205013
528,0.623814,0.207938
529,0.630486,0.210162
530,0.635133,0.211711
531,0.640071,0.213357
532,0.646533,0.215511
533,0.653838,0.217946
534,0.660249,0.220083
535,0.665199,0.221733
536,0.668151,0.222717
537,0.66939,0.22313
538,0.67062,0.22354
539,0.673014,0.224338
540,0.675309,0.225103
541,0.675648,0.225216
542,0.674532,0.224844
543,0.674436,0.224812
544,0.676077,0.225359
545,0.676377,0.225459
546,0.674034,0.224678
547,0.669552,0.223184
548,0.665769,0.221923
549,0.662316,0.220772
550,0.657765,0.219255
551,0.651834,0.217278
552,0.645171,0.215057
553,0.6387,0.2129
554,0.632049,0.210683
555,0.624885,0.208295
556,0.617355,0.205785
557,0.610035,0.203345
558,0.602988,0.200996
559,0.595467,0.198489
560,0.587259,0.195753
561,0.577776,0.192592
562,0.567489,0.189163
563,0.555789,0.185263
564,0.542868,0.180956
565,0.529383,0.176461
566,0.51729,0.17243
567,0.507066,0.169022
