wave-length,optical-strength,light
380,0.000597154,0.00064908
381,0.000597154,0.00064908
382,0.000597154,0.00064908
383,0.000644293,0.000700318
384,0.000738859,0.000803108
385,0.00088077,0.000957359
386,0.001016931,0.00110536
387,0.001147059,0.001246803
388,0.001302567,0.001415834
389,0.001537989,0.001671727
390,0.001853354,0.002014515
391,0.002172618,0.002361541
392,0.002434749,0.002646466
393,0.00264405,0.002873967
394,0.00286472,0.003113826
395,0.003109213,0.003379579
396,0.003355159,0.003646912
397,0.003569939,0.003880369
398,0.003753587,0.004079986
399,0.003887121,0.004225132
400,0.003983044,0.004329396
401,0.004061561,0.00441474
402,0.004191698,0.004556194
403,0.004374141,0.004754501
404,0.004576393,0.00497434
405,0.004763412,0.005177622
406,0.004932432,0.005361339
407,0.005085711,0.005527947
408,0.005226308,0.00568077
409,0.005404562,0.005874524
410,0.005658282,0.006150307
411,0.005985247,0.006505703
412,0.006299848,0.006847661
413,0.006574339,0.007146021
414,0.006813102,0.007405546
415,0.007056544,0.007670156
416,0.007304639,0.007939825
417,0.007621634,0.008284385
418,0.008011594,0.008708254
419,0.008439874,0.009173776
420,0.008774419,0.009537412
421,0.009008799,0.009792173
422,0.009213693,0.010014884
423,0.00946462,0.01028763
424,0.009754166,0.010602354
425,0.010021105,0.010892505
426,0.010255474,0.011147254
427,0.01049862,0.011411543
428,0.010792069,0.01173051
429,0.011137753,0.012106253
430,0.01151618,0.012517587
431,0.011910993,0.012946731
432,0.012280549,0.013348423
433,0.012582064,0.013676156
434,0.012822627,0.013937638
435,0.013206938,0.014355367
436,0.013763391,0.014960208
437,0.014427472,0.015682035
438,0.014977559,0.016279955
439,0.015413623,0.016753938
440,0.015823624,0.017199591
441,0.016264927,0.017679269
442,0.01671652,0.01817013
443,0.017121158,0.018609954
444,0.017477874,0.018997689
445,0.017852094,0.01940445
446,0.018274753,0.019863862
447,0.01878386,0.020417239
448,0.019393262,0.021079633
449,0.020098917,0.021846649
450,0.020737017,0.022540236
451,0.021231764,0.023078004
452,0.021632169,0.023513227
453,0.022148778,0.024074759
454,0.022799091,0.024781621
455,0.023456705,0.025496419
456,0.024024184,0.026113244
457,0.024512335,0.026643842
458,0.025018353,0.027193862
459,0.025554845,0.027777005
460,0.026160078,0.028434867
461,0.026822511,0.029154903
462,0.027527038,0.029920693
463,0.02819816,0.030650174
464,0.028827788,0.031334552
465,0.029448475,0.032009212
466,0.030088955,0.032705386
467,0.030784174,0.033461059
468,0.031570683,0.03431596
469,0.032445999,0.03526739
470,0.033304441,0.036200479
471,0.034085399,0.037049347
472,0.03479789,0.037823793
473,0.035524206,0.038613267
474,0.036271015,0.039425016
475,0.03701485,0.040233533
476,0.037743686,0.041025746
477,0.038495107,0.041842508
478,0.039320287,0.042739442
479,0.040217843,0.043715047
480,0.041109257,0.044683975
481,0.041957848,0.045606357
482,0.042773917,0.046493388
483,0.043604451,0.047396142
484,0.044452181,0.048317588
485,0.045325528,0.049266878
486,0.046218652,0.050237665
487,0.04714044,0.051239609
488,0.048079128,0.052259922
489,0.049059635,0.05332569
490,0.050143591,0.054503903
491,0.051325812,0.055788926
492,0.052475455,0.057038538
493,0.05349589,0.058147707
494,0.054401925,0.059132527
495,0.055322563,0.060133221
496,0.056281163,0.061175177
497,0.057376196,0.06236543
498,0.058588686,0.063683354
499,0.059868262,0.065074198
500,0.061059483,0.066369003
501,0.062156285,0.067561179
502,0.063196105,0.068691419
503,0.064221267,0.069805725
504,0.065223912,0.070895556
505,0.066213281,0.071970958
506,0.067227425,0.073073288
507,0.068359295,0.074303582
508,0.069612556,0.075665822
509,0.070956719,0.077126869
510,0.072309266,0.078597028
511,0.073671689,0.080077923
512,0.075037602,0.081562611
513,0.076395216,0.083038278
514,0.077670343,0.084424286
515,0.078861601,0.085719132
516,0.079944062,0.08689572
517,0.080978427,0.088020029
518,0.082059008,0.089194574
519,0.083382645,0.09063331
520,0.084961358,0.092349302
521,0.086694788,0.094233465
522,0.088422126,0.096111007
523,0.09006947,0.097901598
524,0.091599332,0.099564491
525,0.093009636,0.10109743
526,0.094368675,0.102574647
527,0.095720152,0.104043643
528,0.097228312,0.105682948
529,0.09891493,0.107516228
530,0.100747061,0.109507675
531,0.102536179,0.111452368
532,0.104256228,0.113321987
533,0.105903109,0.115112075
534,0.107502977,0.116851062
535,0.109045839,0.118528086
536,0.110565701,0.12018011
537,0.112150398,0.121902607
538,0.113896038,0.123800041
539,0.115799479,0.125868999
540,0.117749124,0.127988178
541,0.119668755,0.130074734
542,0.121529258,0.13209702
543,0.123349567,0.134075616
544,0.125164142,0.13604798
545,0.12703499,0.138081511
546,0.128974424,0.140189591
547,0.130971055,0.142359842
548,0.132998031,0.144563077
549,0.135131503,0.146882068
550,0.137354226,0.149298072
551,0.139529517,0.151662519
552,0.141494708,0.153798596
553,0.14326734,0.15572537
554,0.145030058,0.157641367
555,0.146868302,0.159639459
556,0.148906584,0.161854983
557,0.151099045,0.164238092
558,0.153415366,0.166755833
559,0.155700188,0.169239335
560,0.157912487,0.171644008
561,0.160030364,0.173946048
562,0.162078334,0.176172102
563,0.164166326,0.178441659
564,0.166340164,0.180804526
565,0.168648903,0.183314025
566,0.171028863,0.185900938
567,0.17339484,0.188472652
568,0.175637261,0.190910066
569,0.177877703,0.193345329
570,0.180390228,0.196076335
571,0.183167693,0.199095319
572,0.185791832,0.201947643
573,0.188073681,0.204427914
574,0.190217831,0.206758512
575,0.192532487,0.209274442
576,0.194967349,0.211921032
577,0.197342922,0.214503176
578,0.199728623,0.217096329
579,0.202291889,0.219882488
580,0.205034504,0.222863591
581,0.207770127,0.225837095
582,0.210381499,0.228675542
583,0.213097659,0.23162789
584,0.216024938,0.234809715
585,0.218932987,0.237970638
586,0.221540851,0.240805273
587,0.224016981,0.243496719
588,0.226740781,0.246457371
589,0.229732896,0.24970967
590,0.232708021,0.252943501
591,0.235514911,0.255994469
592,0.238194145,0.258906679
593,0.240856375,0.261800408
594,0.243872201,0.265078479
595,0.247280487,0.268783138
596,0.250687726,0.272486659
597,0.253594461,0.275646153
598,0.256234477,0.278515736
599,0.259197648,0.281736574
600,0.262526899,0.285355325
601,0.26582666,0.288942022
602,0.268942421,0.292328719
603,0.272110931,0.295772751
604,0.275470339,0.299424281
605,0.27899024,0.303250261
606,0.282522305,0.307089462
607,0.285859713,0.310717079
608,0.288967567,0.314095182
609,0.291952357,0.317339518
610,0.295056565,0.320713658
611,0.298332254,0.324274189
612,0.301692062,0.327926154
613,0.305084019,0.331613064
614,0.308461353,0.335284079
615,0.311845939,0.338962977
616,0.315338863,0.342759634
617,0.318946945,0.346681462
618,0.322582463,0.350633112
619,0.326169348,0.3545319
620,0.329838735,0.358520364
621,0.333637347,0.36264929
622,0.337214985,0.366538027
623,0.340436941,0.370040153
624,0.343669343,0.373553634
625,0.347318459,0.377520064
626,0.351112301,0.381643805
627,0.354586336,0.38541993
628,0.357800054,0.388913102
629,0.361108493,0.392509232
630,0.364588933,0.396292318
631,0.368099297,0.400107932
632,0.371487777,0.403791062
633,0.374681634,0.407262646
634,0.377889698,0.410749672
635,0.381488795,0.414661734
636,0.385427071,0.418942469
637,0.389212405,0.423056962
638,0.392653406,0.42679718
639,0.396178865,0.430629201
640,0.400112272,0.434904643
641,0.404438618,0.439607194
642,0.408849555,0.44440169
643,0.413187854,0.449117233
644,0.417342181,0.453632805
645,0.421150041,0.457771784
646,0.424745545,0.46167994
647,0.428149869,0.465380292
648,0.431586816,0.469116104
649,0.435800688,0.4736964
650,0.440781206,0.479110006
651,0.445866621,0.484637631
652,0.450312681,0.489470305
653,0.454108056,0.493595713
654,0.457878324,0.49769383
655,0.462007006,0.502181528
656,0.466522967,0.507090182
657,0.471090294,0.512054667
658,0.475319995,0.516652168
659,0.479414116,0.5211023
660,0.483712049,0.525773966
661,0.488109664,0.530553983
662,0.492400673,0.535218123
663,0.496858684,0.540063787
664,0.501581747,0.545197551
665,0.506058575,0.550063669
666,0.510040712,0.554392078
667,0.514115372,0.558821057
668,0.518753327,0.563862312
669,0.52344735,0.568964511
670,0.527649549,0.573532119
671,0.531612081,0.577839219
672,0.53585486,0.582450935
673,0.540563782,0.587569328
674,0.545500328,0.592935139
675,0.550522388,0.5983939
